,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,language,duration,imdb_score,comb
72,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Rory Scovel,Comedy Romance,i feel pretty,English,110.0,6.4,"Amy Schumer Michelle Williams Rory Scovel Abby Kohn, Marc Silverstein Comedy Romance"
73,Jay Chandrasekhar,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Comedy Crime Mystery,super troopers 2,English,99.0,5.9,Jay Chandrasekhar Kevin Heffernan Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
74,Deon Taylor,Paula Patton,Omar Epps,Laz Alonso,Thriller Action,traffik,English,96.0,6.1,Paula Patton Omar Epps Laz Alonso Deon Taylor Thriller Action
75,Peter Livolsi,Ellen Burstyn,Nick Offerman,Asa Butterfield,Drama Comedy,the house of tomorrow,English,85.0,6.8,Ellen Burstyn Nick Offerman Asa Butterfield Peter Livolsi Drama Comedy
76,Russo brothers,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,English,149.0,8.2,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Russo brothers Adventure Action Science Fiction
77,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,English,114.0,6.9,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
78,Per Fly,Theo James,Ben Kingsley,Belçim Bilgin,Thriller Drama History,backstabbing for beginners,English,108.0,6.2,Theo James Ben Kingsley Belçim Bilgin Per Fly Thriller Drama History
79,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Romance Drama Crime,kings,English,92.0,5.6,Halle Berry Daniel Craig unknown Deniz Gamze Ergüven Romance Drama Crime
80,Rob Greenberg,Eugenio Derbez,Anna Faris,Eva Longoria,Romance Comedy,overboard,English,112.0,6.6,Eugenio Derbez Anna Faris Eva Longoria Rob Greenberg Romance Comedy
81,Jason Reitman,Charlize Theron,Mackenzie Davis,Ron Livingston,Comedy Drama,tully,English,95.0,6.8,Charlize Theron Mackenzie Davis Ron Livingston Jason Reitman Comedy Drama
82,Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror Drama,bad samaritan,English,111.0,6.7,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror Drama
83,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy Horror,the cleanse,English,81.0,5.1,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy Horror
84,Betsy West,Betsy West (director); Julie Cohen (director); Ruth Bader Ginsburg; Jane Ginsburg; James Steven Ginsburg; Nina Totenberg; Gloria Steinem,unknown,unknown,Documentary,rbg,English,98.0,7.5,Betsy West (director); Julie Cohen (director); Ruth Bader Ginsburg; Jane Ginsburg; James Steven Ginsburg; Nina Totenberg; Gloria Steinem unknown unknown Betsy West Documentary
85,Ben Falcone,Melissa McCarthy,Gillian Jacobs,Maya Rudolph,Comedy,life of the party,English,105.0,6.1,Melissa McCarthy Gillian Jacobs Maya Rudolph Ben Falcone Comedy
86,James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Action Crime Thriller,breaking in,English,88.0,6.0,Gabrielle Union Billy Burke Richard Cabral James McTeigue Action Crime Thriller
87,Michael Mayer,Annette Bening,Saoirse Ronan,Corey Stoll,Drama TV Movie,the seagull,English,118.0,0.0,Annette Bening Saoirse Ronan Corey Stoll Michael Mayer Drama TV Movie
88,Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Crime Drama Thriller Action Comedy Mystery,terminal,English,95.0,5.5,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein Crime Drama Thriller Action Comedy Mystery
89,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Action Comedy Adventure,deadpool 2,English,120.0,7.5,Ryan Reynolds Josh Brolin Morena Baccarin David Leitch Action Comedy Adventure
90,Raja Gosnell,Will Arnett,Ludacris,Natasha Lyonne,Adventure Crime Family Comedy,show dogs,English,90.0,6.0,Will Arnett Ludacris Natasha Lyonne Raja Gosnell Adventure Crime Family Comedy
91,Bill Holderman,Diane Keaton,Jane Fonda,Candice Bergen,Romance Comedy Drama,book club,English,104.0,6.2,Diane Keaton Jane Fonda Candice Bergen Bill Holderman Romance Comedy Drama
92,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,Drama,first reformed,English,113.0,7.0,Ethan Hawke Amanda Seyfried Cedric the Entertainer Paul Schrader Drama
93,Ramin Bahrani,Michael B. Jordan,Michael Shannon,Sofia Boutella,Drama Science Fiction,fahrenheit 451,English,113.0,7.1,Michael B. Jordan Michael Shannon Sofia Boutella Ramin Bahrani Drama Science Fiction
94,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure Action,solo: a star wars story,English,135.0,6.6,Alden Ehrenreich Woody Harrelson Emilia Clarke Ron Howard Science Fiction Adventure Action
95,John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties,English,103.0,6.0,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction
96,Anthony Byrne,Natalie Dormer,Ed Skrein,Emily Ratajkowski,Thriller Mystery,in darkness,English,100.0,6.0,Natalie Dormer Ed Skrein Emily Ratajkowski Anthony Byrne Thriller Mystery
97,James Franco,James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,English,88.0,4.3,James Franco Suki Waterhouse Jeffrey Wahlberg James Franco Science Fiction
98,Jennifer Fox,Laura Dern,Ellen Burstyn,Jason Ritter,Drama Mystery,the tale,English,115.0,7.1,Laura Dern Ellen Burstyn Jason Ritter Jennifer Fox Drama Mystery
99,Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy,action point,English,85.0,5.4,Johnny Knoxville Chris Pontius unknown Tim Kirkby Comedy
100,Baltasar Kormákur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift,English,96.0,6.8,Shailene Woodley Sam Claflin unknown Baltasar Kormákur Thriller Romance Adventure
101,Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,English,100.0,7.5,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction
102,Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,English,117.0,6.7,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
103,Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,English,90.0,6.1,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
104,Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8,English,111.0,7.0,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy Action
105,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,English,128.0,7.3,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
106,Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Science Fiction Action Crime Thriller,hotel artemis,English,94.0,6.1,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Science Fiction Action Crime Thriller
107,Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,English,107.0,6.7,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
108,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,English,118.0,7.5,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
109,Jeff Tomsic,Ed Helms,Jake Johnson,Annabelle Wallis,Comedy Action,tag,English,101.0,6.7,Ed Helms Jake Johnson Annabelle Wallis Jeff Tomsic Comedy Action
110,Kevin Connolly,John Travolta,Spencer Lofranco,Pruitt Taylor Vince,Crime Drama History Thriller,gotti,English,106.0,5.3,John Travolta Spencer Lofranco Pruitt Taylor Vince Kevin Connolly Crime Drama History Thriller
111,J. A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction Thriller,jurassic world: fallen kingdom,English,129.0,6.5,Chris Pratt Bryce Dallas Howard Rafe Spall J. A. Bayona Action Adventure Science Fiction Thriller
112,Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,English,105.0,5.6,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
113,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,unknown,Fantasy Action Adventure,damsel,English,107.0,7.0,"Robert Pattinson Mia Wasikowska unknown David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Fantasy Action Adventure"
114,Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Horror Thriller,the domestics,English,95.0,6.1,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Horror Thriller
115,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Merced,Action Crime Thriller,sicario: day of the soldado,English,122.0,6.9,Benicio del Toro Josh Brolin Isabela Merced Stefano Sollima Action Crime Thriller
116,Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,English,109.0,6.8,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
117,Matt Sivertson,Caroline Amiguet,Sara Wolfkind,Michael Christopher Shantz,Drama,love all you have left,English,90.0,4.3,Caroline Amiguet Sara Wolfkind Michael Christopher Shantz Matt Sivertson Drama
118,Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,English,103.0,6.6,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
119,Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,English,103.0,6.7,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
120,Richie Moore,Russell Geoffrey Banks,Sara Malakul Lane,Margaret Roche,Horror TV Movie,who's watching oliver,English,87.0,5.1,Russell Geoffrey Banks Sara Malakul Lane Margaret Roche Richie Moore Horror TV Movie
121,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Horror Thriller,the first purge,English,97.0,6.0,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Action Horror Thriller
122,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp,English,119.0,6.9,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Action Adventure Science Fiction
123,Boots Riley,LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Fantasy Science Fiction Comedy,sorry to bother you,English,112.0,6.8,LaKeith Stanfield Tessa Thompson Jermaine Fowler Boots Riley Fantasy Science Fiction Comedy
124,Kevin Macdonald,Whitney Houston,unknown,unknown,Romance Drama Music,whitney,English,90.0,5.7,Whitney Houston unknown unknown Kevin Macdonald Romance Drama Music
125,"Genndy Tartakovsky (director/screenplay[118]); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Keegan-Michael Key, Molly Shannon, Fran Drescher, Kathryn Hahn, Jim Gaffigan, Mel Brooks",Adam Sandler,Andy Samberg,Selena Gomez,Animation Comedy Family Fantasy,hotel transylvania 3: summer vacation,English,97.0,6.9,"Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky (director/screenplay[118]); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Keegan-Michael Key, Molly Shannon, Fran Drescher, Kathryn Hahn, Jim Gaffigan, Mel Brooks Animation Comedy Family Fantasy"
126,Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action Thriller Adventure,skyscraper,English,102.0,6.3,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action Thriller Adventure
127,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,English,94.0,7.2,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
128,Gus Van Sant,Joaquin Phoenix,Jonah Hill,Rooney Mara,Comedy Drama,"don't worry, he won't get far on foot",English,115.0,6.7,Joaquin Phoenix Jonah Hill Rooney Mara Gus Van Sant Comedy Drama
129,Rob Reiner,Woody Harrelson,James Marsden,Rob Reiner,History Drama Thriller,shock and awe,English,90.0,6.3,Woody Harrelson James Marsden Rob Reiner Rob Reiner History Drama Thriller
130,Ol Parker,Christine Baranski,Pierce Brosnan,Dominic Cooper,Comedy Romance,mamma mia! here we go again,English,114.0,7.1,Christine Baranski Pierce Brosnan Dominic Cooper Ol Parker Comedy Romance
131,Antoine Fuqua,Denzel Washington,Pedro Pascal,Ashton Sanders,Action Thriller Crime,the equalizer 2,English,121.0,6.8,Denzel Washington Pedro Pascal Ashton Sanders Antoine Fuqua Action Thriller Crime
132,Carlos López Estrada,Daveed Diggs,Rafael Casal,Janina Gavankar,Comedy Crime Drama,blindspotting,English,95.0,7.3,Daveed Diggs Rafael Casal Janina Gavankar Carlos López Estrada Comedy Crime Drama
133,Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Mystery,unfriended: dark web,English,92.0,6.3,Colin Woodell Rebecca Rittenhouse Betty Gabriel Stephen Susco Horror Mystery
134,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout,English,147.0,7.4,Tom Cruise Henry Cavill Ving Rhames Christopher McQuarrie Action Adventure
135,Peter Rida Michail,Greg Cipes,Scott Menville,Khary Payton,Animation Action Comedy Science Fiction,teen titans go! to the movies,English,84.0,7.2,Greg Cipes Scott Menville Khary Payton Peter Rida Michail Animation Action Comedy Science Fiction
136,Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Crime,hot summer nights,English,107.0,6.6,Timothée Chalamet Maika Monroe Alex Roe Elijah Bynum Drama Crime
137,Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle,English,103.0,6.5,Kelly Macdonald Irrfan Khan David Denman Marc Turtletaub Drama
138,Ben Young,Michael Peña,Lizzy Caplan,Mike Colter,Action Adventure Horror Science Fiction Thriller,extinction,English,110.0,6.3,Michael Peña Lizzy Caplan Mike Colter Ben Young Action Adventure Horror Science Fiction Thriller
139,Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,English,104.0,7.3,Ewan McGregor Hayley Atwell Jim Cummings Marc Forster Adventure Comedy Family Fantasy
140,Jennifer Yuh Nelson,Amandla Stenberg,Harris Dickinson,Mandy Moore,Action Adventure Drama,the darkest minds,English,105.0,7.0,Amandla Stenberg Harris Dickinson Mandy Moore Jennifer Yuh Nelson Action Adventure Drama
141,Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Comedy Action Adventure,the spy who dumped me,English,117.0,6.4,Mila Kunis Kate McKinnon Justin Theroux Susanna Fogel Comedy Action Adventure
142,Desiree Akhavan,Chloë Grace Moretz,John Gallagher Jr.,Sasha Lane,Drama,the miseducation of cameron post,English,92.0,6.9,Chloë Grace Moretz John Gallagher Jr. Sasha Lane Desiree Akhavan Drama
143,Augustine Frizzell,Maia Mitchell,Camila Morrone,unknown,Comedy,never goin' back,English,87.0,6.1,Maia Mitchell Camila Morrone unknown Augustine Frizzell Comedy
144,Ken Marino,Nina Dobrev,Vanessa Hudgens,Adam Pally,,dog days,Dutch,0.0,0.0,
145,Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,English,113.0,6.2,Jason Statham Li Bingbing Rainn Wilson Jon Turteltaub Action Science Fiction Horror
146,Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Comedy Drama History,blackkklansman,English,136.0,7.5,John David Washington Adam Driver Laura Harrier Spike Lee Crime Comedy Drama History
147,Sylvain White,Julia Goldani Telles,Joey King,Jaz Sinclair,Horror Mystery Thriller,slender man,English,93.0,4.3,Julia Goldani Telles Joey King Jaz Sinclair Sylvain White Horror Mystery Thriller
148,Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,English,116.0,6.7,Joe Cole unknown unknown Jean-Stéphane Sauvaire Drama Action Crime
149,Sebastian Gutierrez,Abbey Lee,Matthew Beard,Carla Gugino,Science Fiction Thriller Horror Mystery,elizabeth harvest,English,105.0,6.2,Abbey Lee Matthew Beard Carla Gugino Sebastian Gutierrez Science Fiction Thriller Horror Mystery
150,Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Romance,crazy rich asians,English,121.0,7.1,Constance Wu Henry Golding Gemma Chan Jon M. Chu Comedy Romance
151,Albert Hughes,Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,unknown,Horror Drama Science Fiction,alpha,French,128.0,6.4,Kodi Smit-McPhee Jóhannes Haukur Jóhannesson unknown Albert Hughes Horror Drama Science Fiction
152,Peter Berg,Mark Wahlberg,Iko Uwais,John Malkovich,Action Thriller,mile 22,English,94.0,6.2,Mark Wahlberg Iko Uwais John Malkovich Peter Berg Action Thriller
153,Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,English,100.0,7.1,Glenn Close Jonathan Pryce Christian Slater Björn Runge Drama
154,James Cox,Ansel Elgort,Taron Egerton,Emma Roberts,Drama,billionaire boys club,English,108.0,5.7,Ansel Elgort Taron Egerton Emma Roberts James Cox Drama
155,Jesse Peretz,Rose Byrne,Ethan Hawke,Chris O'Dowd,Comedy Drama Romance,"juliet, naked",English,97.0,6.3,Rose Byrne Ethan Hawke Chris O'Dowd Jesse Peretz Comedy Drama Romance
156,Rodrigo Cortés,AnnaSophia Robb,Isabelle Fuhrman,Victoria Moroles,Horror Mystery Thriller Fantasy Drama,down a dark hall,English,96.0,5.5,AnnaSophia Robb Isabelle Fuhrman Victoria Moroles Rodrigo Cortés Horror Mystery Thriller Fantasy Drama
157,Susan Johnson,Lana Condor,Noah Centineo,Janel Parrish,Comedy Romance,to all the boys i've loved before,English,100.0,7.6,Lana Condor Noah Centineo Janel Parrish Susan Johnson Comedy Romance
158,Brian Henson,Melissa McCarthy,Bill Barretta,Joel McHale,Action Crime Comedy,the happytime murders,English,91.0,5.8,Melissa McCarthy Bill Barretta Joel McHale Brian Henson Action Crime Comedy
159,Aneesh Chaganty,John Cho,Debra Messing,unknown,Mystery Thriller Drama,searching,English,102.0,7.6,John Cho Debra Messing unknown Aneesh Chaganty Mystery Thriller Drama
160,Michael Noer,Charlie Hunnam,Rami Malek,Roland Møller,Adventure Crime Drama,papillon,English,134.0,7.3,Charlie Hunnam Rami Malek Roland Møller Michael Noer Adventure Crime Drama
161,Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,English,98.0,6.3,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
162,Chris Weitz,Oscar Isaac,Ben Kingsley,Mélanie Laurent,Drama History Thriller,operation finale,English,124.0,6.7,Oscar Isaac Ben Kingsley Mélanie Laurent Chris Weitz Drama History Thriller
163,"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Science Fiction Action Adventure Thriller,kin,English,102.0,6.1,"Myles Truitt Jack Reynor Zoë Kravitz Jonathan Baker, Josh Baker Science Fiction Action Adventure Thriller"
164,Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,English,90.0,5.8,Winona Ryder Keanu Reeves unknown Victor Levin Romance Comedy Drama
165,Brian A. Miller,Bruce Willis,Frank Grillo,Johnathon Schaech,Action Adventure Thriller,reprisal,English,89.0,5.2,Bruce Willis Frank Grillo Johnathon Schaech Brian A. Miller Action Adventure Thriller
166,Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror,the nun,English,96.0,5.9,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror
167,Pierre Morel,Jennifer Garner,John Ortiz,John Gallagher Jr.,Action Thriller,peppermint,English,102.0,6.7,Jennifer Garner John Ortiz John Gallagher Jr. Pierre Morel Action Thriller
168,Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Thriller,the predator,English,107.0,5.6,Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Thriller
169,Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Thriller Comedy Mystery,a simple favor,English,117.0,6.6,Anna Kendrick Blake Lively Henry Golding Paul Feig Thriller Comedy Mystery
170,Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,English,111.0,6.4,Matthew McConaughey Richie Merritt Bel Powley Yann Demange Crime Drama
171,Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption,English,98.0,6.7,Samuel Hunt Merritt Patterson Vanessa Bell Calloway Harold Cronk Drama
172,Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,English,105.0,6.6,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
173,Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,English,106.0,6.2,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
174,Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror Mystery,hell house llc ii: the abaddon hotel,English,90.0,5.7,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror Mystery
175,Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Comedy Fantasy Family Horror Mystery,the house with a clock in its walls,English,105.0,6.2,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Comedy Fantasy Family Horror Mystery
176,Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,English,118.0,7.2,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
177,Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Comedy,the sisters brothers,English,121.0,6.8,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Comedy
178,Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Horror Comedy,assassination nation,English,108.0,6.2,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Horror Comedy
179,Donald Petrie,Emma Roberts,Hayden Christensen,Alyssa Milano,Comedy Romance,little italy,English,102.0,6.6,Emma Roberts Hayden Christensen Alyssa Milano Donald Petrie Comedy Romance
180,Wash Westmoreland,Keira Knightley,Dominic West,Eleanor Tomlinson,Drama History,colette,English,112.0,6.9,Keira Knightley Dominic West Eleanor Tomlinson Wash Westmoreland Drama History
181,Michael Moore (director/screenplay/narrator),Michael Moore (director/screenplay/narrator),unknown,unknown,Documentary,fahrenheit 11/9,English,128.0,7.1,Michael Moore (director/screenplay/narrator) unknown unknown Michael Moore (director/screenplay/narrator) Documentary
182,Lisa D'Apolito,Lisa D'Apolito (director); Gilda Radner,Amy Poehler,Melissa McCarthy,Documentary,"love, gilda",English,84.0,7.2,Lisa D'Apolito (director); Gilda Radner Amy Poehler Melissa McCarthy Lisa D'Apolito Documentary
183,Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Comedy Adventure Animation Fantasy,smallfoot,English,96.0,6.8,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Comedy Adventure Animation Fantasy
184,"Malcolm D. Lee (director[176]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[177] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school,English,111.0,6.1,"Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee (director[176]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[177] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco Comedy"
185,David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,English,94.0,6.4,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
186,Gregory Plotkin,Amy Forsyth,Reign Edwards,Bex Taylor-Klaus,Horror Thriller,hell fest,English,89.0,5.7,Amy Forsyth Reign Edwards Bex Taylor-Klaus Gregory Plotkin Horror Thriller
187,Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom,English,112.0,6.8,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
188,Bradley Cooper,Bradley Cooper,Lady Gaga,Andrew Dice Clay,Music Drama Romance,a star is born,English,136.0,7.5,Bradley Cooper Lady Gaga Andrew Dice Clay Bradley Cooper Music Drama Romance
189,Peter Bogdanovich,Peter Bogdanovich (director/screenplay),unknown,unknown,Documentary Comedy,the great buster: a celebration,English,102.0,7.2,Peter Bogdanovich (director/screenplay) unknown unknown Peter Bogdanovich Documentary Comedy
190,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,English,141.0,7.0,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
191,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Mystery Crime,bad times at the el royale,English,141.0,6.8,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Mystery Crime
192,Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Comedy Fantasy Horror Family,goosebumps 2: haunted halloween,English,90.0,6.1,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Comedy Fantasy Horror Family
193,Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,English,121.0,7.5,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
194,Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy Thriller,the oath,English,93.0,5.6,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy Thriller
195,Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime Documentary,gosnell: the trial of america's biggest serial killer,English,93.0,5.7,Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime Documentary
196,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei",Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Romance Drama,after everything,English,93.0,6.9,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei Romance Drama"
197,David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween,English,91.0,7.6,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
198,George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,English,133.0,8.1,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
