,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,language,duration,imdb_score,comb
233,Andy Serkis,Christian Bale,Cate Blanchett,Benedict Cumberbatch,Adventure Drama,mowgli: legend of the jungle,English,105.0,6.5,Christian Bale Cate Blanchett Benedict Cumberbatch Andy Serkis Adventure Drama
234,Diederik van Rooijen,Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,English,86.0,5.6,Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
235,Johan Bodell,Christopher Lee Page,Caitlin Crommett,Erik Kammerland,,the cabin,English,11.0,0.0,
236,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots,English,124.0,6.6,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
237,Peter Hedges,Julia Roberts,Lucas Hedges,Courtney B. Vance,Drama,ben is back,English,103.0,6.6,Julia Roberts Lucas Hedges Courtney B. Vance Peter Hedges Drama
238,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Animation Action Adventure Science Fiction,spider-man: into the spider-verse,English,117.0,8.4,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Animation Action Adventure Science Fiction"
239,Christian Rivers,Hera Hilmar,Robert Sheehan,Hugo Weaving,Adventure Science Fiction,mortal engines,English,128.0,6.2,Hera Hilmar Robert Sheehan Hugo Weaving Christian Rivers Adventure Science Fiction
240,Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama,the mule,English,116.0,6.9,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama
241,Barry Jenkins,KiKi Layne,Stephan James,Colman Domingo,Romance Drama,if beale street could talk,English,120.0,6.9,KiKi Layne Stephan James Colman Domingo Barry Jenkins Romance Drama
242,Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns,English,131.0,6.5,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
243,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,aquaman,English,143.0,6.9,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
244,Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee,English,114.0,6.7,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
245,Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy,welcome to marwen,English,116.0,6.5,Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Drama Comedy
246,Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act,English,103.0,6.3,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
247,Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Comedy Mystery Crime,holmes & watson,English,90.0,4.3,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Comedy Mystery Crime
248,Adam McKay,Christian Bale,Amy Adams,Steve Carell,Drama Comedy,vice,English,132.0,7.0,Christian Bale Amy Adams Steve Carell Adam McKay Drama Comedy
249,Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,on the basis of sex,English,120.0,7.3,Felicity Jones Armie Hammer Justin Theroux Mimi Leder Drama History
250,Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Thriller Crime Drama Action,destroyer,English,121.0,5.9,Nicole Kidman Sebastian Stan Toby Kebbell Karyn Kusama Thriller Crime Drama Action
